CustomerID,CustomerName,CustGender,CustomerDOB,phone,email,CustLocation,CustAccountBalance,account_type,kyc_status,created_at
C1000,NaN,Male,1995-01-06,20123456,NULL,nd,370359.81,MUDARABA,actif,25-11-1988
C1158,Inès Chaari,Female,08/12/1989,+216.20.123.456,inès.chaari@banqueislamique.tn,Kairouan,86832.16 TND,ijara,Suspendu,07/02/19
C1076,Tarek Sfaxi,F,20070305,0 50 123 456,tarek.sfaxi@banqueislamique.tn,Gafsa,$106138.71,murabaha,cloture,"August 3, 1996"
C1052,Sonia Trabelsi,MALE,20080215,not available,sonia.trabelsi@banqueislamique.tn,Ben Arous,$167660.61,IJARA,inactif,"September 11, 2018"
C1038,Omar Jebali,m,04/02/2018,00216 31 234 567,omar.jebali@banqueislamique.tn,Ariana,280497.34 TND,Murabaha,inactif,17/05/88
C01181,Walid Khlifi,Femme,26/10/2019,+216 20 123 456,walid.khlifi@banqueislamique.tn,Bizerte,"61,011.99",MURABAHA,,20031101
C1096,Nour Nasri,Femme,2006-01-31,93 456 789,NA,Gabès,335099.74,MURABAHA,true,18-10-1999
1089,Hajer Trabelsi,m,13/02/85,ABCDEFGH,hajer.trabelsi@banqueislamique.tn,Ben Arous,235009.25€,Murabaha,clôturé,1995-05
C01149,Bilel Nasri,masculin,09/01/04,71 234 567,bilel.nasri@banqueislamique.tn,Gafsa,207150.45€,mudaraba,bloque,2018-11
C01133,Ahmed Chaari,féminin,26/01/2001,2012345,ahmed.chaari@banqueislamique.tn,Kairouan,"294,467.58",murabaha,closed,19921025
 C1138 ,Tarek Bouzid,male,1998,80123456,tarek.bouzid@banqueislamique.tn,Ben Arous,215156.640000,salam,true,NULL
C1054,Mohamed Nasri,M,2013,20123456,mohamed.nasri@banqueislamique.tn,ND,348207.490000,istisna,true,NaN
c1083,Hajer Chaari,1,1987/01/16,60123456,hajer.chaari@banqueislamique.tn,Bizerte,"348738.95,",IJARA,,08/12/2013
C01181,Walid Khlifi,Femme,26/10/2019,+216 20 123 456,walid.khlifi@banqueislamique.tn,Bizerte,"61,011.99",MURABAHA,,20031101
C01005,Inès Bouzid,Female,09/08/16,71 234 567,inès.bouzid@banqueislamique.tn,Kairouan,386556.86€,ijara,clôturé,1995-06
1169,Walid Trabelsi,0,28/01/2015,2012345,walid.trabelsi@banqueislamique.tn,Gabès,"9,213.45",mudaraba,ACTIF,19930201
C01029,Karim Ben Ali,H,17/03/11,60123456,karim.ben.ali@banqueislamique.tn,Monastir,78800.62€,murabaha,ACTIF,1988-08
C1088,NULL,M,20190320,not available,nan,Bizerte,$330248.03,MUDARABA,Suspendu,"October 5, 1995"
 C1178 ,Walid Sfaxi,F,  2002-04-28  ,na,walid.sfaxi@banqueislamique.tn,Kairouan,NULL,ijara,inactif,24/08/2022
C1124,Bilel Bouzid,Female,20211122,na,bilel.bouzid@banqueislamique.tn,Sfax,$337450.79,istisna,true,"February 15, 1986"
,,,,,,,,,,
C01197,Mohamed Bouzid,homme,01/10/08,ABCDEFGH,mohamed.bouzid@banqueislamique.tn,Gabès,324815.41€,Murabaha,ACTIF,1990-02
C1167,Omar Sfaxi,féminin,2011/02/21,71 234 567,omar.sfaxi@banqueislamique.tn,Gabès,"155184.85,",MURABAHA,,05/01/2016
 C1114 ,Amira Nasri,H,2011,93 456 789,amira.nasri@banqueislamique.tn,Gafsa,318988.530000,musharaka,Actif,nd
 C1090 ,Rania Nasri,Female,1995,20123456,rania.nasri@banqueislamique.tn,--,312566.500000,MURABAHA,cloture,nan
C1084,Asma Trabelsi,0,1985-07-20,80123456,asma.trabelsi@banqueislamique.tn,Gafsa,239409.23,WADIAH,actif,09-04-1993
C01173,Mehdi Bouzid,M,02/10/18,60123456,mehdi.bouzid@banqueislamique.tn,Gafsa,117078.07€,IJARA,clôturé,1998-11
C1095,Bilel Bouzid,homme,2019/03/26,71 234 567,bilel.bouzid@banqueislamique.tn,Gafsa,"259530.02,",murabaha,1,06/24/1997
C1143,n/a,female,2000/10/10,ABCDEFGH,fatma.jebali@banqueislamique.tn,Monastir,"106448.13,",SALAM,suspendu,08/19/2006
c1019,Rania Khlifi,male,"February 25, 2014",+216 20 123 456,rania.khlifi@banqueislamique.tn,Monastir,225797,mudaraba,clôturé,  1995-01-30  
1113,Amira Zouari,Femme,22/05/10,71 234 567,amira.zouari@banqueislamique.tn,Sousse,85074.83€,istisna,ACTIF,2012-05
1009,Tarek Jebali,f,#N/A,00000000,tarek.jebali@banqueislamique.tn,NA,106392.01,MURABAHA,bloque,2002-10-01
C1102,Leila Chaari,Male,2017,80123456,leila.chaari@banqueislamique.tn,Bizerte,207803.620000,ISTISNA,Suspendu,NaN
