TransactionID,CustomerID,TransactionDate,TransactionAmount__INR,transaction_type,channel,currency,iban,status,notes,timestamp_ms
 TXN1146 ,C01005,19-04-1999,475835.90 TND,retrait,MOBILE,XAU,TN5914702326744056,En_Attente,Transaction 146 — produit islamique,NA
 TXN1234 , C1186 ,"January 24, 2014",478700.090000,TRANSFER,MOBILE,Tnd,nd,En_Attente,Transaction 234 — produit islamique,1627410663000
TXN1208,C1048,25/02/17,$53972.10,débit,app,dinars,IBAN_INVALIDE,,Transaction 208 — produit islamique,1763513835
TXN1014,C1047,19-08-1985,168622.38 TND,virement,MOBILE,Tnd,ND,En_Attente,Transaction 14 — produit islamique,#N/A
TXN01037,C1054,07/11/1993,"58,746.37",ijara_loyer,internet,?,,refusé,Transaction 37 — produit islamique,1647436836
 TXN1258 ,1009,"February 29, 2020",251714.270000,retrait,swift,dinars,IBAN_INVALIDE,REFUSED,Transaction 258 — produit islamique,1750980689000
TXN1140,C1166,NONE,  353620.74  ,virement,,TND,TN59 3235 31139813 65,1,ND,#NA
TXN1264,C1142,23/08/2006,185169.46,débit,agence,Tnd,MISSING,validé,Transaction 264 — produit islamique,1646137800000
TXN1228,c1171,28/03/2013,106666.25,depot,,dinars,IBAN_INVALIDE,1,Transaction 228 — produit islamique,1662123322000
TXN1044,C1015,not available,  333410.69  ,Virement,agence,Tnd,na,validé,Transaction 44 — produit islamique,UNKNOWN
 TXN1186 , C1186 ,"November 20, 1990",367064.900000,depot,app,XAU,TN5942143617383381,,Transaction 186 — produit islamique,1640534640000
TXN1183,C1004,20150511,TND 313380.80,VIREMENT,GUICHET,tnd,IBAN_INVALIDE,pending,Transaction 183 — produit islamique,1715258441000
TXN1254,C1103,20-11-2011,318847.59 TND,Virement,ATM,Tnd,missing,VALIDÉ,Transaction 254 — produit islamique,nr
TXN1040,C01141,14/03/11,$360033.97,débit,GUICHET,TND,TN59 6126 65556767 15,pending,None,1723331348
TXN1076,1137,22/05/93,$163059.86,retrait,app,XAU,TN5991252460014978,,Transaction 76 — produit islamique,1745406625
TXN1262,C01133,1990/04/15,not available,TRANSFER,N/A,EUR,,0,Transaction 262 — produit islamique,1720854518
txn1003,C1188,20170818,TND 352917.04,dépôt,MOBILE,tnd,IBAN_INVALIDE,En_Attente,Transaction 3 — produit islamique,1720338314000
 TXN1162 ,C01005,"February 27, 2000",396846.660000,murabaha_paiement,,EUR,,1,Transaction 162 — produit islamique,1700741198000
1297, C1178 ,  2009-03-11  ,295456.38,dépôt,agence,?,,validé,Transaction 297 — produit islamique,1624602747000
TXN01093,1025,  2013-02-02  ,418367.42,ijara_loyer,swift,tnd,IBAN_INVALIDE,REFUSED,Transaction 93 — produit islamique,1742646517000
